num_episodes,train_test_rewards,kl_loss,train_info_final_performance,train_rewards,train_info_final_normalized_performance,eval_info_avarage_normalized_performance,reward_loss,eval_test_rewards,num_steps,train_info_avarage_performance,train_info_sum_normalized_performance,eval_info_final_normalized_performance,eval_info_sum_performance,train_info_sum_performance,eval_info_avarage_performance,train_test_episodes,observation_loss,eval_info_final_performance,eval_test_episodes,train_info_avarage_normalized_performance,eval_info_sum_normalized_performance
131,,3.612627532482147,,13.173171441928636,,,5.664392647304339e-05,,12974,,,,,,,,58.8228694152832,,,,
140,,3.6316962838172913,,12.50357702766926,,,6.467710172728403e-05,,13865,,,,,,,,60.49453025817871,,,,
149,,3.6247969388961794,,12.364093581245886,,,5.4505251355294604e-05,,14756,,,,,,,,59.890419235229494,,,,
158,,3.6233570194244384,,13.09816259092748,,,6.209289807884488e-05,,15647,,,,,,,,57.87379051208496,,,,
167,,3.618785409927368,,13.853678402292397,,,5.2436136720643844e-05,,16538,,,,,,,,58.486630859375,,,,
176,,3.628508403301239,,14.56806093157579,,,4.7964725272322536e-05,,17429,,,,,,,,57.691949653625485,,,,
185,,3.647389373779297,,13.16409185965572,,,6.473448062024545e-05,,18320,,,,,,,,57.29653221130371,,,,
194,16.036994065449242,3.6408745193481447,0.16155045,15.049786932929091,0.19645275,0.12306473,5.7744809855648785e-05,13.897013171054905,19211,0.16036995,19.261599,0.13397053,13.897014,16.036995,0.13897014,45,57.311092948913576,0.14232567,54,0.192616,12.306472
203,,3.691885585784912,,13.036377511711736,,,5.858627751877066e-05,,20102,,,,,,,,57.7292444229126,,,,
212,,3.703071405887604,,13.162149684842785,,,5.775889520009514e-05,,20993,,,,,,,,56.85782024383545,,,,
221,,3.6830732154846193,,13.41810898618164,,,5.4350475329556504e-05,,21884,,,,,,,,56.080316886901855,,,,
230,,3.7018953156471253,,14.634130083099182,,,7.923922508780379e-05,,22775,,,,,,,,57.576943244934085,,,,
239,,3.7309701108932494,,14.792123557694786,,,7.861272348236526e-05,,23666,,,,,,,,56.22549266815186,,,,
248,,3.7146536898612976,,16.425917399294896,,,7.882222569605802e-05,,24557,,,,,,,,55.91001850128174,,,,
257,,3.7519554615020754,,16.14115398554337,,,9.346224993350916e-05,,25448,,,,,,,,58.21464359283447,,,,
266,,3.7700588941574096,,15.54716189226726,,,9.539775011944584e-05,,26339,,,,,,,,57.14225517272949,,,,
275,,3.791953103542328,,15.411754332030117,,,8.689690261235228e-05,,27230,,,,,,,,58.126363601684574,,,,
284,14.574041870831069,3.801674463748932,0.15056393,15.056498295894167,0.1607456,0.18269596,7.735687777312705e-05,15.731770798028517,28121,0.14574042,14.506875,0.21189728,15.7317705,14.57404,0.15731771,63,56.726455192565915,0.16630249,72,0.14506875,18.269598
293,,3.8199641847610475,,14.924955783916062,,,8.124473853968084e-05,,29012,,,,,,,,57.00326625823975,,,,
302,,3.8286977195739746,,16.566139158259446,,,8.022359499591402e-05,,29903,,,,,,,,56.51054172515869,,,,
311,,3.8384118056297303,,15.92416957908484,,,8.589071880123811e-05,,30794,,,,,,,,56.96389190673828,,,,
320,,3.846800367832184,,14.401549356348259,,,8.873109363776166e-05,,31685,,,,,,,,57.410052185058596,,,,
