num_episodes,train_info_final_normalized_performance,train_rewards,train_test_episodes,eval_test_rewards,eval_info_final_normalized_performance,eval_info_sum_normalized_performance,train_info_final_performance,eval_info_sum_performance,eval_info_avarage_normalized_performance,train_info_avarage_normalized_performance,train_info_avarage_performance,num_steps,observation_loss,train_info_sum_performance,eval_info_avarage_performance,kl_loss,eval_test_episodes,train_info_sum_normalized_performance,reward_loss,eval_info_final_performance,train_test_rewards
1325,,-5.827469255526861,,,,,,,,,,38430,38.50743167877197,,,4.221010847091675,,,0.00015532452818661113,,
1355,,-5.960158494114876,,,,,,,,,,39300,38.28458072662354,,,4.247776155471802,,,0.00012796170294677723,,
1385,,-5.8498925725619,,,,,,,,,,40170,38.98466659545898,,,4.2584896612167356,,,0.00011874232939590001,,
1415,,-6.8181257277727125,,,,,,,,,,41040,38.12350971221924,,,4.260593762397766,,,0.00012386868551402585,,
1445,,-5.953952604532242,,,,,,,,,,41910,38.29658103942871,,,4.270048742294311,,,0.00013928009046139777,,
1475,,-5.943988551199436,,,,,,,,,,42780,38.137157897949216,,,4.270070886611938,,,0.00013324538162123645,,
1505,,-6.004349420468013,,,,,,,,,,43650,38.12693870544434,,,4.2790715742111205,,,0.0001277605701397988,,
1535,0.4502639,-5.853751801451048,330,-6.523586070040862,0.38744012,11.725107,-0.19623923,-6.523586,0.39083692,0.4478831,-0.19708909,44520,38.56392841339111,-5.912673,-0.21745287,4.282554154396057,360,13.436493,0.00011394709526939551,-0.2186654,-5.912672915061315
1565,,-6.609662581980229,,,,,,,,,,45390,37.56475063323975,,,4.261879706382752,,,0.00012864221203926719,,
1595,,-5.757676360507806,,,,,,,,,,46260,37.66066005706787,,,4.272330861091614,,,0.0001380590746521193,,
1625,,-5.906546274324258,,,,,,,,,,47130,37.81238609313965,,,4.2961023330688475,,,0.00016040622611399158,,
1655,,-6.402961497008801,,,,,,,,,,48000,37.74592407226562,,,4.299857630729675,,,0.00012453553712475694,,
1685,,-5.828013278543949,,,,,,,,,,48870,37.60049209594727,,,4.28252154827118,,,0.00012749873772918363,,
1715,,-6.036996301015218,,,,,,,,,,49740,37.29952938079834,,,4.3030838298797605,,,0.000138485023908288,,
1745,,-5.8675205936034525,,,,,,,,,,50610,37.139460220336915,,,4.277230739593506,,,0.00010026939020463032,,
1775,,-6.086254011591276,,,,,,,,,,51480,37.19833694458008,,,4.278581929206848,,,0.00011159102325109416,,
1805,,-6.20034007281065,,,,,,,,,,52350,37.47097602844238,,,4.288131141662598,,,0.00012017743163596606,,
1835,0.43068045,-6.459666156272093,390,-6.015897183616956,0.4388874,13.147323,-0.2032299,-6.015897,0.43824416,0.42830032,-0.20407955,53220,37.49114337921142,-6.122386,-0.2005299,4.287045202255249,420,12.849011,8.958685692050494e-05,-0.20030029,-6.122386650741101
1865,,-6.4351693337162335,,,,,,,,,,54090,36.811477394104,,,4.259936213493347,,,9.605360561181442e-05,,
1895,,-6.254383230706056,,,,,,,,,,54960,37.29793460845947,,,4.297454676628113,,,0.00012056160208885558,,
1925,,-6.085523444414139,,,,,,,,,,55830,38.0318363571167,,,4.301641592979431,,,0.00013455182333927952,,
1955,,-6.115914697945118,,,,,,,,,,56700,37.562332496643066,,,4.316151661872864,,,0.00010024065513789538,,
1985,,-5.829497051239014,,,,,,,,,,57570,37.38914596557617,,,4.316329412460327,,,0.0001097894877602812,,
2015,,-5.940476491053899,,,,,,,,,,58440,36.81188339233398,,,4.312362222671509,,,0.00011785012819018448,,
2045,,-5.954053759078184,,,,,,,,,,59310,37.365925521850585,,,4.304087471961975,,,0.00012746384909405605,,
2075,,-5.820383441944917,,,,,,,,,,60180,37.06132389068603,,,4.31251621723175,,,9.513233866528026e-05,,
2105,,-6.629954738418261,,,,,,,,,,61050,36.92956260681152,,,4.325857515335083,,,0.00011530036932526855,,
2135,0.4669252,-5.81936547110478,450,-5.8658573652307195,0.4542146,13.567639,-0.19029163,-5.8658576,0.45225465,0.46429932,-0.191229,61920,36.60989791870117,-5.7368703,-0.19552858,4.303145923614502,480,13.928979,0.00011742452390535618,-0.19482893,-5.736870216826598
2165,,-5.89485349804163,,,,,,,,,,62790,36.841314506530765,,,4.312531428337097,,,0.00011116463576399838,,
2195,,-5.863717916607857,,,,,,,,,,63660,36.50130718231201,,,4.306105432510376,,,7.753067755402299e-05,,
2225,,-5.873731044928233,,,,,,,,,,64530,36.54509269714355,,,4.297477946281433,,,7.995253208719078e-05,,
2255,,-5.89461739162604,,,,,,,,,,65400,36.50582618713379,,,4.330054039955139,,,9.538615222481894e-05,,
2285,,-6.044646685818831,,,,,,,,,,66270,36.27630546569824,,,4.317898578643799,,,7.909464135082089e-05,,
2315,,-6.011991389592489,,,,,,,,,,67140,36.13447021484375,,,4.329392700195313,,,7.277081655047368e-05,,
2345,,-5.959653605520725,,,,,,,,,,68010,36.26453338623047,,,4.3262272071838375,,,0.00011319976027152735,,
2375,,-5.916751601795355,,,,,,,,,,68880,36.14400554656982,,,4.3381951379776,,,0.0001023189792977064,,
2405,,-5.8660825873414675,,,,,,,,,,69750,36.2264485168457,,,4.345816392898559,,,7.89595796231879e-05,,
2435,0.4518071,-5.7615243266026175,510,-5.825955673058828,0.45614675,13.679418,-0.19568834,-5.825956,0.45598063,0.45108137,-0.19594741,70620,35.913147087097165,-5.8784223,-0.1941985,4.338142008781433,540,13.532441,8.157619768098812e-05,-0.19413921,-5.878422141075134
2465,,-5.910448231299719,,,,,,,,,,71490,35.64859756469727,,,4.328566360473633,,,9.16269923800428e-05,,
